Dataset,Tamanho,SelectionSort(ms),InsertionSort(ms),QuickSort(ms)
Dataset1,1000,2.21,1.22,0.08
Dataset1,2000,0.95,1.35,0.43
Dataset1,3000,2.33,2.32,0.75
Dataset1,4000,4.15,4.20,0.45
Dataset1,5000,6.65,10.37,0.31
Dataset1,6000,9.79,10.10,0.39
Dataset1,7000,13.23,13.64,0.44
Dataset1,8000,17.23,17.82,0.53
Dataset1,9000,21.73,22.80,0.60
Dataset1,10000,27.26,28.94,0.67
Dataset2,10000,26.77,28.44,0.68
Dataset2,20000,124.47,117.71,1.53
Dataset2,30000,274.26,287.61,2.69
Dataset2,40000,491.76,533.91,3.13
Dataset2,50000,785.94,806.77,4.18
Dataset2,60000,1132.73,1273.77,5.10
Dataset2,70000,1565.32,1704.42,6.15
Dataset2,80000,2062.37,2488.50,7.46
Dataset2,90000,2602.26,3321.50,8.36
Dataset2,100000,3340.08,5200.85,10.08